unit_type_id,property_id,name,created_at,updated_at,deleted_at
377,PR0155,Type 2,2021-12-09 06:53,2021-12-09 06:53,
378,PR0155,Type 3,2021-12-09 06:53,2021-12-09 06:53,
379,PR0155,Type 4,2021-12-09 06:53,2021-12-09 06:53,
380,PR0302,Type 1,2021-12-09 06:53,2021-12-09 06:53,
381,PR0251,Type 1,2021-12-09 06:53,2021-12-09 06:53,
382,PR0251,Type 2,2021-12-09 06:53,2021-12-09 06:53,
383,PR0251,Type 3,2021-12-09 06:53,2021-12-09 06:53,
384,PR0205,Type 1,2021-12-09 06:54,2021-12-09 06:54,
385,PR0156,Type 1,2021-12-09 06:54,2021-12-09 06:54,
386,PR0156,Type 2,2021-12-09 06:54,2021-12-09 06:54,
387,PR0156,Type 3,2021-12-09 06:54,2021-12-09 06:54,
